meeting_family,window,industry,届数,平均涨跌幅,最大涨跌幅,最小涨跌幅,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,权重,权重_百分比
中国国际进口博览会,T-1,电子,8,0.015649,0.048115,-0.013841,7,1,0,0.875,0.125,0.0,0.00430194,0.4302
中国国际进口博览会,T-1,石油石化,8,0.005585,0.024725,-0.012037,6,2,0,0.75,0.25,0.0,0.00153533,0.1535
中国国际进口博览会,T-1,纺织服装,8,0.008165,0.026366,-0.005229,6,2,0,0.75,0.25,0.0,0.00224458,0.2245
中国国际进口博览会,T-1,计算机,8,0.011473,0.0347,-0.014772,6,2,0,0.75,0.25,0.0,0.00315395,0.3154
中国国际进口博览会,T-1,轻工制造,8,0.01208,0.040081,-0.003514,7,1,0,0.875,0.125,0.0,0.00332082,0.3321
中国国际进口博览会,T-1,通信,8,0.012537,0.034746,-0.009865,6,2,0,0.75,0.25,0.0,0.00344645,0.3446
中国国际进口博览会,T-1,银行,8,0.010856,0.022604,-0.003427,6,2,0,0.75,0.25,0.0,0.00298434,0.2984
中国国际进口博览会,T-1,食品饮料,8,0.020935,0.056511,-0.009204,7,1,0,0.875,0.125,0.0,0.00575508,0.5755
中国国际进口博览会,T-5,农林牧渔,8,0.007977,0.026277,-0.014808,6,2,0,0.75,0.25,0.0,0.00219289,0.2193
中国国际进口博览会,T-5,医药,8,0.002777,0.024851,-0.023821,6,2,0,0.75,0.25,0.0,0.0007634,0.0763
中国国际进口博览会,T-5,商贸零售,8,-0.0031,0.022327,-0.02046,2,6,0,0.25,0.75,0.0,-0.0008522,-0.0852
中国国际进口博览会,T-5,建筑,8,-0.006554,0.011612,-0.01892,2,6,0,0.25,0.75,0.0,-0.00180171,-0.1802
中国国际进口博览会,T-5,房地产,8,-0.011375,0.00274,-0.032712,2,6,0,0.25,0.75,0.0,-0.00312701,-0.3127
中国国际进口博览会,T-5,煤炭,8,-0.015545,0.00783,-0.039354,1,7,0,0.125,0.875,0.0,-0.00427335,-0.4273
中国国际进口博览会,T-5,石油石化,8,-0.00989,0.005502,-0.026545,2,6,0,0.25,0.75,0.0,-0.00271878,-0.2719
中国国际进口博览会,T-5,纺织服装,8,-0.005966,0.017041,-0.025268,1,7,0,0.125,0.875,0.0,-0.00164007,-0.164
中国国际进口博览会,T-5,银行,8,-0.009624,0.000411,-0.020681,1,7,0,0.125,0.875,0.0,-0.00264566,-0.2646
中央政治局会议,T,传媒,14,0.016709,0.083299,-0.014272,10,4,0,0.714286,0.285714,0.0,0.00459334,0.4593
中央政治局会议,T,医药,14,0.009203,0.041573,-0.012251,10,4,0,0.714286,0.285714,0.0,0.00252992,0.253
中央政治局会议,T,国防军工,14,0.011189,0.058577,-0.017177,11,3,0,0.785714,0.214286,0.0,0.00307588,0.3076
中央政治局会议,T,基础化工,14,0.009198,0.038473,-0.01064,10,4,0,0.714286,0.285714,0.0,0.00252855,0.2529
中央政治局会议,T,家电,14,0.014155,0.058483,-0.009005,10,4,0,0.714286,0.285714,0.0,0.00389124,0.3891
中央政治局会议,T,有色金属,14,0.008487,0.048558,-0.014582,10,4,0,0.714286,0.285714,0.0,0.00233309,0.2333
中央政治局会议,T,汽车,14,0.008144,0.051031,-0.014758,11,3,0,0.785714,0.214286,0.0,0.0022388,0.2239
中央政治局会议,T,消费者服务,14,0.011217,0.067786,-0.016274,10,4,0,0.714286,0.285714,0.0,0.00308358,0.3084
中央政治局会议,T,电子,14,0.016354,0.044116,-0.010779,12,2,0,0.857143,0.142857,0.0,0.00449575,0.4496
中央政治局会议,T,石油石化,14,0.005527,0.033574,-0.008026,10,4,0,0.714286,0.285714,0.0,0.00151938,0.1519
中央政治局会议,T,纺织服装,14,0.01146,0.04215,-0.022245,11,3,0,0.785714,0.214286,0.0,0.00315038,0.315
中央政治局会议,T,综合,14,0.006096,0.036743,-0.018617,10,4,0,0.714286,0.285714,0.0,0.0016758,0.1676
中央政治局会议,T,计算机,14,0.015412,0.066046,-0.009728,11,3,0,0.785714,0.214286,0.0,0.00423679,0.4237
中央政治局会议,T,轻工制造,14,0.009489,0.046866,-0.015877,10,4,0,0.714286,0.285714,0.0,0.00260855,0.2609
中央政治局会议,T,通信,14,0.013153,0.04669,-0.011692,10,4,0,0.714286,0.285714,0.0,0.00361579,0.3616
中央政治局会议,T+1,交通运输,14,0.004451,0.02992,-0.014263,10,4,0,0.714286,0.285714,0.0,0.00122359,0.1224
中央政治局会议,T+1,传媒,14,0.012303,0.059301,-0.01157,10,4,0,0.714286,0.285714,0.0,0.00338212,0.3382
中央政治局会议,T+1,医药,14,0.009407,0.064248,-0.022752,10,4,0,0.714286,0.285714,0.0,0.002586,0.2586
中央政治局会议,T+1,商贸零售,14,0.004944,0.035508,-0.020646,10,4,0,0.714286,0.285714,0.0,0.00135912,0.1359
中央政治局会议,T+1,房地产,14,-0.000782,0.066817,-0.037876,4,10,0,0.285714,0.714286,0.0,-0.00021497,-0.0215
中央政治局会议,T+1,汽车,14,0.010007,0.042182,-0.015416,10,4,0,0.714286,0.285714,0.0,0.00275095,0.2751
中央政治局会议,T+1,电力及公用事业,14,0.004636,0.022793,-0.007772,10,4,0,0.714286,0.285714,0.0,0.00127445,0.1274
中央政治局会议,T+1,钢铁,14,0.004153,0.028266,-0.022234,11,3,0,0.785714,0.214286,0.0,0.00114167,0.1142
中央政治局会议,T+5,石油石化,14,-0.004637,0.047971,-0.022226,4,10,0,0.285714,0.714286,0.0,-0.00127472,-0.1275
中央政治局会议,T-1,交通运输,14,0.004772,0.031113,-0.006308,10,4,0,0.714286,0.285714,0.0,0.00131183,0.1312
中央政治局会议,T-1,农林牧渔,14,0.002009,0.012882,-0.028659,11,3,0,0.785714,0.214286,0.0,0.00055228,0.0552
中央政治局会议,T-1,医药,14,0.005259,0.020937,-0.010518,10,4,0,0.714286,0.285714,0.0,0.00144571,0.1446
中央政治局会议,T-1,国防军工,14,0.007982,0.024047,-0.009281,10,4,0,0.714286,0.285714,0.0,0.00219427,0.2194
中央政治局会议,T-1,家电,14,0.004904,0.026095,-0.007045,11,3,0,0.785714,0.214286,0.0,0.00134812,0.1348
中央政治局会议,T-1,房地产,14,0.011646,0.067041,-0.010396,12,2,0,0.857143,0.142857,0.0,0.00320151,0.3202
中央政治局会议,T-1,汽车,14,0.005876,0.017339,-0.009152,10,4,0,0.714286,0.285714,0.0,0.00161533,0.1615
中央政治局会议,T-1,电力及公用事业,14,0.003876,0.014513,-0.001308,12,2,0,0.857143,0.142857,0.0,0.00106552,0.1066
中央政治局会议,T-1,纺织服装,14,0.005282,0.015742,-0.01128,12,2,0,0.857143,0.142857,0.0,0.00145203,0.1452
中央政治局会议,T-1,综合,14,0.009748,0.029362,-0.013461,12,2,0,0.857143,0.142857,0.0,0.00267975,0.268
中央政治局会议,T-1,轻工制造,14,0.004784,0.028423,-0.018587,11,3,0,0.785714,0.214286,0.0,0.00131513,0.1315
中央政治局会议,T-1,钢铁,14,0.006431,0.022431,-0.012414,10,4,0,0.714286,0.285714,0.0,0.0017679,0.1768
中央政治局会议,T-1,非银行金融,14,0.011894,0.043956,-0.015279,10,4,0,0.714286,0.285714,0.0,0.00326969,0.327
中央政治局会议,T-5,汽车,14,-0.001312,0.015848,-0.021163,4,10,0,0.285714,0.714286,0.0,-0.00036067,-0.0361
中央经济工作会议,T,房地产,14,-0.003167,0.022739,-0.056609,4,10,0,0.285714,0.714286,0.0,-0.00087062,-0.0871
中央经济工作会议,T,煤炭,14,-0.001728,0.040042,-0.065312,4,10,0,0.285714,0.714286,0.0,-0.00047503,-0.0475
中央经济工作会议,T,电力及公用事业,14,-0.00469,0.008267,-0.041193,3,11,0,0.214286,0.785714,0.0,-0.00128929,-0.1289
中央经济工作会议,T+1,交通运输,14,0.00621,0.055874,-0.01575,10,4,0,0.714286,0.285714,0.0,0.00170714,0.1707
中央经济工作会议,T+1,农林牧渔,14,0.006761,0.035546,-0.01115,10,4,0,0.714286,0.285714,0.0,0.00185861,0.1859
中央经济工作会议,T+1,建材,14,0.006486,0.040785,-0.027808,11,3,0,0.785714,0.214286,0.0,0.00178302,0.1783
中央经济工作会议,T+1,房地产,14,0.008508,0.045041,-0.029483,11,3,0,0.785714,0.214286,0.0,0.00233887,0.2339
中央经济工作会议,T+1,消费者服务,14,0.010168,0.047683,-0.022054,10,4,0,0.714286,0.285714,0.0,0.00279521,0.2795
中央经济工作会议,T+1,电力及公用事业,14,0.006524,0.061189,-0.008191,10,4,0,0.714286,0.285714,0.0,0.00179346,0.1793
中央经济工作会议,T+1,钢铁,14,0.006333,0.043613,-0.018509,10,4,0,0.714286,0.285714,0.0,0.00174096,0.1741
